S/N,Gender,Age,Location,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,health,absences,Score
1,F,13,U,GT3,A,4,4,2,2,0,yes,no,no,no,yes,yes,no,4,3,3,4,22
2,F,12,U,GT3,T,1,1,1,2,0,no,yes,no,no,no,yes,yes,5,3,3,2,31
3,F,10,U,LE3,T,1,1,1,2,0,yes,no,no,no,yes,yes,yes,4,3,3,6,37
4,F,10,U,GT3,T,4,2,1,3,0,no,yes,no,yes,yes,yes,yes,3,2,5,0,42
5,F,11,U,GT3,T,3,3,1,2,0,no,yes,no,no,yes,yes,no,4,3,5,0,37
6,M,11,U,LE3,T,4,3,1,2,0,no,yes,no,yes,yes,yes,yes,5,4,5,6,37
7,M,11,U,LE3,T,2,2,1,2,0,no,no,no,no,yes,yes,yes,4,4,3,0,38
8,F,12,U,GT3,A,4,4,2,2,0,yes,yes,no,no,yes,yes,no,4,1,1,2,36
9,M,10,U,LE3,A,3,2,1,2,0,no,yes,no,no,yes,yes,yes,4,2,1,0,48
10,M,10,U,GT3,T,3,4,1,2,0,no,yes,no,yes,yes,yes,yes,5,5,5,0,37
11,F,10,U,GT3,T,4,4,1,2,0,no,yes,no,no,yes,yes,yes,3,3,2,2,42
12,F,10,U,GT3,T,2,1,3,3,0,no,yes,no,yes,yes,yes,yes,5,2,4,0,35
13,M,10,U,LE3,T,4,4,1,1,0,no,yes,no,yes,yes,yes,yes,4,3,5,0,37
14,M,10,U,GT3,T,4,3,2,2,0,no,yes,no,no,yes,yes,yes,5,4,3,0,37
15,M,10,U,GT3,A,2,2,1,3,0,no,yes,no,no,yes,yes,yes,4,5,3,0,43
16,F,11,U,GT3,T,4,4,1,1,0,no,yes,no,no,yes,yes,yes,4,4,2,6,51
17,F,11,U,GT3,T,4,4,1,3,0,no,yes,no,yes,yes,yes,yes,3,2,2,10,40
18,F,11,U,GT3,T,3,3,3,2,0,yes,yes,no,yes,yes,yes,no,5,3,4,2,41
19,M,12,U,GT3,T,3,2,1,1,3,no,yes,yes,yes,yes,yes,yes,5,5,5,2,23
